thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,loop_maintrial.thisRepN,loop_maintrial.thisTrialN,loop_maintrial.thisN,loop_maintrial.thisIndex,thisRow.t,notes,cross_fix.started,text_cross.started,text_cross.stopped,cross_fix.stopped,prompt.started,string_prompt_disp.started,string_prompt_disp.stopped,prompt.stopped,blank.started,blank_screen.started,blank_screen.stopped,blank.stopped,response.started,key_resp.started,key_response_disp.started,response.stopped,loop_maintrial.key_resp.keys,loop_maintrial.key_resp.corr,loop_maintrial.key_resp.rt,loop_maintrial.key_resp.duration,button_record.started,fb_break.started,fb_break.stopped,button_record.stopped,reactionTime,accuracy,prompt,character,countdown.started,countdown.stopped,ITI.started,black_screen.started,black_screen.stopped,ITI.stopped,text_countdown.started,birthday,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XX-XX-XXXX,2025-07-03_14h59.08.643,maintrial_sternberg,2024.2.4,60.08135014503586,2025-07-03 14h59.44.735487 -0700,
0,0,0,period,1,0.28129149999585934,None,0,0,0,0,3.8817147000227123,,3.8721940999967046,3.8817147000227123,13.896443600009661,13.869321200007107,13.87770010001259,13.896443600009661,17.39838630001759,17.38658980000764,17.386849300004542,17.39838630001759,22.165066500019748,22.151220300002024,22.155401099997107,22.165066500019748,22.165066500019748,22.451829099998577,period,1,0.28129149999585934,None,22.452366400015308,22.465195299999323,22.465195299999323,22.453366400004597,0.28129149999585934,correct,i d j,i,22.453559000015957,22.453585500014015,22.45366460000514,22.465195299999323,25.313055300008273,25.287077600019984,,XX-XX-XXXX,2025-07-03_14h59.08.643,maintrial_sternberg,2024.2.4,60.08135014503586,2025-07-03 14h59.44.735487 -0700,
1,0,1,comma,1,0.6563753999944311,None,1,0,1,0,25.313055300008273,,25.288188100006664,,,25.288250500016147,25.296892300015315,25.313055300008273,28.815238800016232,28.802446900022915,28.80260290001752,28.815238800016232,33.6464567000221,33.62023460000637,33.625337500008754,33.6464567000221,33.6464567000221,34.30695920001017,comma,1,0.6563753999944311,None,34.3081710000115,34.3309728000022,34.3309728000022,34.30949740001233,0.6563753999944311,correct,a n z,r,34.30996020001476,34.310014100017725,34.31011370001943,34.3309728000022,36.88011210001423,36.85313070000848,,XX-XX-XXXX,2025-07-03_14h59.08.643,maintrial_sternberg,2024.2.4,60.08135014503586,2025-07-03 14h59.44.735487 -0700,
2,0,2,period,1,0.4230766999826301,None,2,0,2,0,36.88011210001423,,36.85426250001183,,,36.85431830000016,36.86186830000952,36.88011210001423,40.38199870000244,40.368303399998695,40.368426500004716,40.38199870000244,43.463363700022455,43.437299300014274,43.44353190000402,43.463363700022455,43.463363700022455,43.88882160000503,period,1,0.4230766999826301,None,43.88965900000767,43.91345550000551,43.91345550000551,43.8909942000173,0.4230766999826301,correct,x s g,s,43.89127510000253,43.89131370000541,43.89143350001541,43.91345550000551,46.146215400018264,46.12174210001831,,XX-XX-XXXX,2025-07-03_14h59.08.643,maintrial_sternberg,2024.2.4,60.08135014503586,2025-07-03 14h59.44.735487 -0700,
3,0,3,comma,1,0.41323870001360774,None,3,0,3,0,46.146215400018264,,46.12324380001519,,,46.12333390000276,46.133296600019094,46.146215400018264,49.648764600016875,49.63738330002525,49.63755380001385,49.648764600016875,54.098649000021396,54.084531000000425,54.08755340002244,54.098649000021396,54.098649000021396,54.52156030002516,comma,1,0.41323870001360774,None,54.52242850000039,54.53206890000729,54.53206890000729,54.52386890002526,0.41323870001360774,correct,l b x,p,54.52425020001829,54.52430089999689,54.5244261000189,54.53206890000729,56.213584700017236,56.186224600009155,,XX-XX-XXXX,2025-07-03_14h59.08.643,maintrial_sternberg,2024.2.4,60.08135014503586,2025-07-03 14h59.44.735487 -0700,
4,0,4,period,1,0.2897895000060089,None,4,0,4,0,56.213584700017236,,56.18727720002062,,,56.18733179999981,56.192802200006554,56.213584700017236,59.71554120001383,59.70258160002413,59.70273350001662,59.71554120001383,63.5488408000092,63.53505340000265,63.53788910000003,63.5488408000092,63.5488408000092,63.8525484999991,period,1,0.2897895000060089,None,63.85311809999985,63.865643800003454,63.865643800003454,63.85411909999675,0.2897895000060089,correct,n j t,n,63.85437980000279,63.85441010000068,63.85450610000407,63.865643800003454,66.81372840001131,66.78841700000339,,XX-XX-XXXX,2025-07-03_14h59.08.643,maintrial_sternberg,2024.2.4,60.08135014503586,2025-07-03 14h59.44.735487 -0700,
5,0,5,period,1,0.27960239999811165,None,5,0,5,0,66.81372840001131,,66.78997120002168,,,66.79005570002482,66.79866260002018,66.81372840001131,70.31570669999928,70.3029600000009,70.30310489999829,70.31570669999928,74.59916569999768,74.58560640001087,74.58747520000907,74.59916569999768,74.59916569999768,74.88635430001887,period,1,0.27960239999811165,None,74.88700390001759,74.89900820000912,74.89900820000912,74.88821920001647,0.27960239999811165,correct,u d r,r,74.88843550000456,74.88846519999788,74.88855750000221,74.89900820000912,77.28210300000501,77.2692539000127,,XX-XX-XXXX,2025-07-03_14h59.08.643,maintrial_sternberg,2024.2.4,60.08135014503586,2025-07-03 14h59.44.735487 -0700,
6,0,6,period,1,0.5489702000049874,None,6,0,6,0,77.28210300000501,,77.27041379999719,,,77.2704655000125,77.27571640000679,77.28210300000501,80.78261330001988,80.77293690000079,80.77321870002197,80.78261330001988,85.51415120001184,85.48807459999807,85.49460370000452,85.51415120001184,85.51415120001184,86.06939930000226,period,1,0.5489702000049874,None,86.06995180001832,86.08261540002422,86.08261540002422,86.07118060000357,0.5489702000049874,correct,l m w,m,86.07134680001764,86.07136920001358,86.07145470002433,86.08261540002422,89.59890920002363,89.57255380001152,,XX-XX-XXXX,2025-07-03_14h59.08.643,maintrial_sternberg,2024.2.4,60.08135014503586,2025-07-03 14h59.44.735487 -0700,
6,0,6,period,1,0.5489702000049874,None,6,0,6,0,89.59890920002363,,89.57385460002115,,,89.57394940001541,89.58073370001512,89.59890920002363,93.09909550001612,93.08493579999777,93.08505130000412,93.09909550001612,96.21569020001334,96.20319830000517,96.20580789999804,96.21569020001334,96.21569020001334,97.70172260000254,None,0,,,97.71188840002287,97.7302509000001,,98.5563405000139,[],incorrect,n j e,n,98.55683360001422,98.55687950001447,98.55696929999976,,,98.55699350000941,,XX-XX-XXXX,2025-07-03_14h59.08.643,maintrial_sternberg,2024.2.4,60.08135014503586,2025-07-03 14h59.44.735487 -0700,
7,0,7,comma,1,0.34399749999283813,None,7,0,7,0,98.56582139999955,,98.55799329999718,98.56582139999955,108.58083770002122,108.55465390000609,108.56150229999912,108.58083770002122,112.0826993000228,112.07108500000322,112.07136000000173,112.0826993000228,115.81432600002154,115.79027650001808,115.7966248000157,115.81432600002154,115.81432600002154,116.17147210001713,comma,1,0.34399749999283813,None,116.17214400001103,116.1828807000129,116.1828807000129,116.17329570002039,0.34399749999283813,correct,y a e,l,116.1734835000243,116.17351240001153,116.17360290000215,116.1828807000129,117.81486480002059,117.78847860000678,,XX-XX-XXXX,2025-07-03_14h59.08.643,maintrial_sternberg,2024.2.4,60.08135014503586,2025-07-03 14h59.44.735487 -0700,
